1.143760,-0.855132,-0.504613,0.084000,-0.565327,0.018074,-0.308842,0.110206,-0.011620,0.091399
1.146655,-0.858735,-0.507525,0.084551,-0.569354,0.018261,-0.312129,0.112295,-0.011864,0.093496
1.163754,-0.879982,-0.524668,0.087789,-0.593027,0.019351,-0.331377,0.124393,-0.013277,0.105564
1.171754,-0.890100,-0.532964,0.089369,-0.604646,0.019904,-0.341170,0.131075,-0.014074,0.112489
1.251532,-0.996093,-0.624142,0.107173,-0.738013,0.026991,-0.468281,0.256356,-0.030887,0.277114
1.148918,-0.861490,-0.509705,0.084958,-0.572314,0.018392,-0.314431,0.113593,-0.012012,0.094722
-12.104489,1.627485,1.170105,-0.134292,-0.747706,1.704516,-0.920119,0.040269,0.307356,-1.035324
1.143760,-0.855132,-0.504613,0.084000,-0.565327,0.018074,-0.308842,0.110206,-0.011620,0.091399
1.144445,-0.855974,-0.505286,0.084127,-0.566249,0.018116,-0.309575,0.110646,-0.011670,0.091828
1.152740,-0.866229,-0.513522,0.085679,-0.577576,0.018633,-0.318692,0.116244,-0.012321,0.097355
1.165180,-0.881758,-0.526103,0.088061,-0.595014,0.019443,-0.333000,0.125426,-0.013398,0.106601
-12.551215,1.641181,1.281616,-0.205328,-1.255361,-0.038129,0.039185,0.086148,-1.062041,-0.157404
1.148953,-0.861537,-0.509746,0.084966,-0.572374,0.018395,-0.314486,0.113637,-0.012017,0.094770
-11.792865,1.619919,1.294490,-0.150019,-1.149738,1.645493,-0.955900,0.033776,-0.075601,-1.287770
1.144402,-0.855921,-0.505244,0.084119,-0.566191,0.018113,-0.309529,0.110618,-0.011667,0.091801
1.203239,-0.930704,-0.566879,0.095889,-0.652917,0.022293,-0.383660,0.163436,-0.018046,0.147975
2.799850,4.618799,1.036165,4.547063,0.448399,-0.456465,-1.475423,-0.656106,0.584052,-0.324046
1.160720,-0.876159,-0.521545,0.087195,-0.588668,0.019145,-0.327735,0.121964,-0.012990,0.103076
1.167036,-0.884146,-0.528092,0.088442,-0.597832,0.019581,-0.335447,0.127191,-0.013611,0.108469
1.143760,-0.855132,-0.504613,0.084000,-0.565327,0.018074,-0.308842,0.110206,-0.011620,0.091399
1.173147,-0.891907,-0.534482,0.089662,-0.606814,0.020012,-0.343092,0.132543,-0.014253,0.114090
1.167708,-0.884929,-0.528684,0.088550,-0.598604,0.019611,-0.335974,0.127374,-0.013628,0.108581
1.169623,-0.887552,-0.530988,0.089004,-0.602024,0.019796,-0.339292,0.130400,-0.014014,0.112133
1.159849,-0.875061,-0.520646,0.087025,-0.587413,0.019086,-0.326686,0.121263,-0.012907,0.102359
1.144162,-0.855627,-0.505009,0.084074,-0.565869,0.018099,-0.309273,0.110465,-0.011650,0.091652
1.144138,-0.855597,-0.504985,0.084070,-0.565836,0.018097,-0.309247,0.110449,-0.011648,0.091636
1.143760,-0.855132,-0.504614,0.084000,-0.565327,0.018074,-0.308842,0.110206,-0.011620,0.091399
1.146509,-0.858516,-0.507320,0.084509,-0.569037,0.018242,-0.311802,0.111989,-0.011826,0.093144
1.148918,-0.861490,-0.509705,0.084958,-0.572314,0.018392,-0.314431,0.113593,-0.012012,0.094722
1.174062,-0.893028,-0.535373,0.089829,-0.608028,0.020066,-0.344038,0.133061,-0.014311,0.114561
1.146572,-0.858600,-0.507392,0.084523,-0.569142,0.018248,-0.311898,0.112064,-0.011835,0.093224
4.246066,8.279086,1.687705,2.481418,0.960623,-0.285822,0.252081,0.437248,-0.253144,0.116767
1.147699,-0.859983,-0.508495,0.084730,-0.570649,0.018316,-0.313091,0.112771,-0.011916,0.093911
1.179916,-0.900467,-0.541500,0.090998,-0.616643,0.020480,-0.351379,0.138215,-0.014930,0.119983
1.171781,-0.890182,-0.533068,0.089392,-0.604834,0.019918,-0.341421,0.131388,-0.014115,0.112881
1.163400,-0.879607,-0.524415,0.087746,-0.592740,0.019345,-0.331278,0.124549,-0.013303,0.105835
